"Game Title","Region","Artist","Song Title"
"SingStar Party (Europe, Australia)","Europe/Australia","Maroon 5","This Love"
"SingStar Party (Europe, Australia)","Europe/Australia","Natasha Bedingfield","Single"
"SingStar Party (Europe, Australia)","Europe/Australia","New Model Army","51st State of America"
"SingStar Party (Europe, Australia)","Europe/Australia","P!nk","Just Like a Pill"
"SingStar Party (Europe, Australia)","Europe/Australia","Scissor Sisters","Take Your Mama"
"SingStar Party (Europe, Australia)","Europe/Australia","Sonny & Cher","I Got You Babe"
"SingStar Party (Europe, Australia)","Europe/Australia","Spandau Ballet","Gold"
"SingStar Party (Europe, Australia)","Europe/Australia","Spice Girls","Who Do You Think You Are"
"SingStar Party (Europe, Australia)","Europe/Australia","The Beautiful South","A Little Time"
"SingStar Party (Europe, Australia)","Europe/Australia","The Foundations","Build Me Up Buttercup"
"SingStar Party (Europe, Australia)","Europe/Australia","The Police","Every Breath You Take"
"SingStar Party (Europe, Australia)","Europe/Australia","Tiffany","I Think We're Alone Now"
"SingStar Pop (Europe)","Europe","The All-American Rejects","Move Along"
"SingStar Pop (Europe)","Europe","Anastacia","Left Outside Alone"
"SingStar Pop (Europe)","Europe","The Black Eyed Peas","Shut Up"
"SingStar Pop (Europe)","Europe","Girls Aloud","Love Machine"
"SingStar Pop (Europe)","Europe","Good Charlotte","I Wanna Live"
"SingStar Pop (Europe)","Europe","The Hives","Main Offender"
"SingStar Pop (Europe)","Europe","Hoobastank","The Reason"
"SingStar Pop (Europe)","Europe","Jamelia","Stop!"
"SingStar Pop (Europe)","Europe","Keane","Somewhere Only We Know"
"SingStar Pop (Europe)","Europe","Kings of Leon","The Bucket"
"SingStar Pop (Europe)","Europe","Manfred Mann","Do Wah Diddy"
"SingStar Pop (Europe)","Europe","McFly","Obviously"
"SingStar Pop (Europe)","Europe","Natasha Bedingfield","These Words"
"SingStar Pop (Europe)","Europe","The Police","Every Breath You Take"
"SingStar Pop (Europe)","Europe","Robbie Williams","Let Me Entertain You"
"SingStar Pop (Europe)","Europe","Ronan Keating & Yusuf Islam","Father And Son"
"SingStar Pop (Europe)","Europe","Sister Sledge","We Are Family"
"SingStar Pop (Europe)","Europe","Steppenwolf","Born to Be Wild"
"SingStar Pop (Europe)","Europe","The Clash","Should I Stay or Should I Go"
"SingStar Pop (Europe)","Europe","Tom Jones","It's Not Unusual"
"SingStar Pop Hits (Scandinavia)","Scandinavia","Ashlee Simpson","Pieces Of Me"
"SingStar Pop Hits (Scandinavia)","Scandinavia","Avril Lavigne","Sk8er Boi"
"SingStar Pop Hits (Scandinavia)","Scandinavia","Beyoncé","Crazy in Love"
"SingStar Pop Hits (Scandinavia)","Scandinavia","Blink-182","What's My Age Again?"
